Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Month,Sales_Per_Unit
Ord100002,2025-02-25,Cust5529,Customer_227,30.0,Female,Bengaluru,Rice,Grocery,7,2829.77,19808.39,February,2829.77
Ord100003,2025-10-14,Cust3127,Customer_182,63.0,Male,Bengaluru,Book,Education,5,27906.16,139530.8,October,27906.159999999996
Ord100004,2025-05-13,Cust8887,Customer_487,62.0,Female,Bengaluru,Book,Education,8,37491.06,299928.48,May,37491.06
Ord100005,2025-12-02,Cust2515,Customer_470,65.0,Female,Kolkata,Mobile,Electronics,9,28541.36,256872.24,December,28541.36
Ord100006,2025-11-20,Cust4796,Customer_380,44.0,Male,Bengaluru,Rice,Grocery,10,14036.59,140365.9,November,14036.59
Ord100007,2025-12-31,Cust3952,Customer_71,40.0,Female,Hyderabad,Laptop,Electronics,9,35947.47,323527.23,December,35947.47
Ord100008,2025-10-14,Cust1758,Customer_335,61.0,Male,Patna,Mobile,Electronics,6,49997.53,299985.18,October,49997.53
Ord100009,2025-12-05,Cust9622,Customer_224,35.0,Male,Kolkata,Laptop,Electronics,3,9488.83,28466.49,December,9488.83
Ord100010,2025-11-21,Cust9770,Customer_494,41.0,Female,Mumbai,Book,Education,6,19488.23,116929.38,November,19488.23
Ord100011,2025-04-16,Cust1312,Customer_40,30.0,Male,Kolkata,Mobile,Electronics,8,18024.34,144194.72,April,18024.34
Ord100012,2025-05-05,Cust9642,Customer_162,51.0,Male,Delhi,Shoes,Fashion,3,14151.42,42454.26,May,14151.42
Ord100013,2025-05-02,Cust3228,Customer_209,55.0,Female,Patna,Chair,Furniture,6,47175.43,283052.58,May,47175.43
Ord100014,2025-05-06,Cust1038,Customer_454,32.0,Male,Patna,Rice,Grocery,5,7413.68,37068.4,May,7413.68
Ord100015,2025-04-24,Cust6413,Customer_490,50.0,Female,Patna,Shoes,Fashion,8,12042.52,96340.16,April,12042.52
Ord100016,2025-03-12,Cust8660,Customer_213,42.0,Female,Patna,Mobile,Electronics,8,25465.31,203722.48,March,25465.31
Ord100017,2025-08-30,Cust9307,Customer_313,36.0,Female,Delhi,Shoes,Fashion,10,20111.09,201110.9,August,20111.09
Ord100018,2025-11-30,Cust4363,Customer_161,30.0,Female,Delhi,Book,Education,10,40109.12,401091.2,November,40109.12
Ord100019,2025-10-19,Cust3508,Customer_67,31.0,Male,Gaya,Shoes,Fashion,1,7280.64,7280.64,October,7280.64
Ord100020,2025-07-24,Cust5806,Customer_103,57.0,Female,Mumbai,Chair,Furniture,5,6122.59,30612.95,July,6122.59
Ord100021,2025-03-20,Cust6504,Customer_357,34.0,Male,Kolkata,Laptop,Electronics,8,23770.36,190162.88,March,23770.36
Ord100022,2025-03-18,Cust8908,Customer_190,65.0,Male,Pune,Shoes,Fashion,1,2344.98,2344.98,March,2344.98
Ord100023,2025-10-04,Cust2903,Customer_122,31.0,Female,Mumbai,Book,Education,7,15396.37,107774.59,October,15396.369999999999
Ord100024,2025-11-23,Cust1406,Customer_499,52.0,Male,Gaya,Shoes,Fashion,10,31576.5,315765.0,November,31576.5
Ord100025,2025-09-14,Cust8036,Customer_173,44.0,Male,Patna,Laptop,Electronics,2,11127.06,22254.12,September,11127.06
Ord100026,2025-03-16,Cust6532,Customer_348,30.0,Male,Pune,Rice,Grocery,7,36069.86,252489.02,March,36069.86
Ord100027,2025-04-10,Cust2482,Customer_183,65.0,Male,Mumbai,Book,Education,9,39414.46,354730.14,April,39414.46
Ord100028,2025-08-01,Cust2003,Customer_48,35.0,Female,Mumbai,Rice,Grocery,2,23837.41,47674.82,August,23837.41
Ord100029,2025-08-10,Cust6149,Customer_181,32.0,Female,Patna,Laptop,Electronics,5,14534.79,72673.95,August,14534.789999999999
Ord100030,2025-02-05,Cust3688,Customer_205,38.0,Female,Bengaluru,Mobile,Electronics,10,21393.69,213936.9,February,21393.69
Ord100031,2025-08-09,Cust3212,Customer_415,33.0,Male,Gaya,Rice,Grocery,2,21382.16,42764.32,August,21382.16
Ord100032,2025-05-13,Cust5063,Customer_50,33.0,Female,Mumbai,Mobile,Electronics,1,15831.03,15831.03,May,15831.03
Ord100033,2025-10-22,Cust9565,Customer_350,21.0,Female,Mumbai,Book,Education,8,21791.66,174333.28,October,21791.66
Ord100034,2025-12-04,Cust9325,Customer_352,44.0,Female,Mumbai,Laptop,Electronics,5,17556.08,87780.4,December,17556.079999999998
Ord100035,2025-05-03,Cust4002,Customer_388,18.0,Female,Gaya,Laptop,Electronics,5,46822.84,234114.2,May,46822.840000000004
Ord100036,2025-03-08,Cust8975,Customer_315,36.0,Female,Gaya,Mobile,Electronics,4,47896.7,191586.8,March,47896.7
Ord100037,2025-02-07,Cust2669,Customer_151,46.0,Male,Bengaluru,Laptop,Electronics,8,44911.49,359291.92,February,44911.49
Ord100038,2025-02-20,Cust5869,Customer_415,23.0,Male,Delhi,Chair,Furniture,7,40746.79,285227.53,February,40746.79
Ord100039,2025-10-20,Cust7249,Customer_144,29.0,Male,Kolkata,Rice,Grocery,4,4794.08,19176.32,October,4794.08
Ord100040,2025-03-07,Cust7465,Customer_345,58.0,Female,Bengaluru,Shoes,Fashion,8,29270.98,234167.84,March,29270.98
Ord100041,2025-04-21,Cust7988,Customer_383,39.0,Female,Mumbai,Shoes,Fashion,1,3992.85,3992.85,April,3992.85
Ord100042,2025-05-31,Cust9953,Customer_484,50.0,Female,Hyderabad,Mobile,Electronics,5,44365.94,221829.7,May,44365.94
Ord100043,2025-04-20,Cust6938,Customer_344,43.0,Female,Kolkata,Mobile,Electronics,4,29915.72,119662.88,April,29915.72
Ord100044,2025-09-22,Cust3006,Customer_256,58.0,Male,Patna,Chair,Furniture,6,16521.44,99128.64,September,16521.44
Ord100045,2025-07-04,Cust5151,Customer_409,55.0,Female,Bengaluru,Rice,Grocery,6,14399.11,86394.66,July,14399.11
Ord100046,2025-04-26,Cust5903,Customer_396,27.0,Female,Hyderabad,Shoes,Fashion,9,1491.63,13424.67,April,1491.63
Ord100047,2025-05-11,Cust4943,Customer_198,34.0,Male,Mumbai,Rice,Grocery,2,6210.24,12420.48,May,6210.24
Ord100048,2025-09-02,Cust4750,Customer_78,42.0,Female,Delhi,Mobile,Electronics,2,47649.61,95299.22,September,47649.61
Ord100049,2025-10-25,Cust2705,Customer_117,55.0,Male,Kolkata,Mobile,Electronics,5,24854.05,124270.25,October,24854.05
Ord100050,2025-10-03,Cust5523,Customer_432,41.0,Male,Pune,Chair,Furniture,9,30834.87,277513.83,October,30834.870000000003
Ord100051,2025-02-27,Cust1557,Customer_87,39.0,Female,Mumbai,Chair,Furniture,6,20561.97,123371.82,February,20561.97
Ord100052,2025-09-09,Cust2062,Customer_254,58.0,Male,Patna,Book,Education,10,49367.75,493677.5,September,49367.75
Ord100053,2025-06-08,Cust9203,Customer_70,33.0,Male,Delhi,Laptop,Electronics,6,4656.1,27936.6,June,4656.099999999999
Ord100054,2025-07-07,Cust8053,Customer_408,58.0,Male,Delhi,Rice,Grocery,7,42345.82,296420.74,July,42345.82
Ord100055,2025-04-16,Cust1017,Customer_387,42.0,Female,Pune,Shoes,Fashion,7,37747.24,264230.68,April,37747.24
Ord100056,2025-11-16,Cust2690,Customer_11,26.0,Male,Delhi,Book,Education,2,33304.17,66608.34,November,33304.17
Ord100057,2025-12-07,Cust2791,Customer_20,58.0,Female,Bengaluru,Laptop,Electronics,6,41157.44,246944.64,December,41157.44
Ord100058,2025-03-12,Cust4496,Customer_53,18.0,Female,Bengaluru,Chair,Furniture,7,47669.63,333687.41,March,47669.63
Ord100059,2025-12-12,Cust8811,Customer_115,50.0,Female,Bengaluru,Chair,Furniture,1,44708.5,44708.5,December,44708.5
Ord100060,2025-01-15,Cust2411,Customer_292,47.0,Female,Mumbai,Mobile,Electronics,5,36809.08,184045.4,January,36809.08
Ord100061,2025-11-08,Cust2350,Customer_205,46.0,Male,Pune,Mobile,Electronics,4,25292.97,101171.88,November,25292.97
Ord100062,2025-07-06,Cust9745,Customer_48,27.0,Male,Mumbai,Shoes,Fashion,1,29263.26,29263.26,July,29263.26
Ord100063,2025-07-15,Cust6236,Customer_312,43.0,Female,Kolkata,Laptop,Electronics,3,5679.91,17039.73,July,5679.91
Ord100064,2025-09-26,Cust1887,Customer_209,21.0,Male,Hyderabad,Chair,Furniture,6,46235.96,277415.76,September,46235.96
Ord100065,2025-05-16,Cust5386,Customer_125,47.0,Male,Gaya,Rice,Grocery,9,27164.06,244476.54,May,27164.06
Ord100066,2025-07-25,Cust8065,Customer_92,53.0,Male,Kolkata,Mobile,Electronics,10,8905.49,89054.9,July,8905.49
Ord100067,2025-01-30,Cust8841,Customer_407,36.0,Female,Patna,Book,Education,10,17406.52,174065.2,January,17406.52
